-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.04%      70.974ms         0.04%      71.516ms       5.429us       0.000us         0.00%       1.000us       0.000us      27.30 Kb      27.30 Kb     144.55 Gb     144.55 Gb         13174  
                                          aten::random_         0.00%      30.000us         0.00%      30.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                             aten::item         0.02%      31.832ms         0.83%        1.411s     128.557us       0.000us         0.00%       1.545ms       0.141us           0 b           0 b           0 b           0 b         10976  
                              aten::_local_scalar_dense         0.00%     641.000us         0.83%        1.403s     127.796us      63.000us         0.00%       1.546ms       0.141us           0 b           0 b           0 b           0 b         10976  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -11.44 Gb     -11.44 Gb     -22.00 Gb     -22.00 Gb          4294  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...        93.18%      158.018s        94.09%      159.547s        2.532s       0.000us         0.00%       0.000us       0.000us      11.63 Gb     -30.09 Kb           0 b           0 b            63  
                                         aten::randperm         0.00%     234.000us         0.00%     528.000us     132.000us       0.000us         0.00%       0.000us       0.000us       7.75 Kb         -16 b           0 b           0 b             4  
                                    aten::scalar_tensor         0.00%      43.000us         0.00%      43.000us      21.500us       0.000us         0.00%       0.000us       0.000us          16 b          16 b           0 b           0 b             2  
                                          aten::resize_         0.00%     743.000us         0.00%     926.000us       3.675us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      11.50 Gb      11.50 Gb           252  
                                           aten::detach         0.00%       8.245ms         0.01%      17.563ms       3.218us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5458  
