
Real                            Simulated
------------------------------------------------------
Contrast mean:
969.6579103035492               1022.4886545056751
1988.6466345684582              1711.6958599741522
1540.821702073011               1568.8921357613542

Contrast std:
290.75254716057503 	            446.78597612822426
387.9468670491452 	            587.1346438875012
239.3725076579244 	            265.9881434776503

Contrast skew:
0.17987960060191965             1.4946052816148063
-0.07155303508200812            0.4111204324034843
-0.32907071097517515            -0.31156687112166054

Contrast kurtosis:
-0.4359470348775676             0.023762563862064656
-0.25191229313185826            -1.0779781982746004
-0.24270261671358728            -0.33926772837456776

------------------------------------------------------

Homogeneity mean:
0.039069227375165605            0.04080506137658528
0.02522246052325944             0.02843744067096874
0.029867334601010608            0.02966790049473542

Homogeneity std:
0.007499794809282504 	        0.009159839364435512
0.003120700931873529 	        0.005312311207599034
0.00249018516673984 	        0.0026405985232624382

Homogeneity skew:
0.8578001301917011              -0.4131550793007821
1.2507890133357733              0.5381607299234548
1.1465485928814314              1.1734718132116795

Homogeneity kurtosis:
-0.28033594826431196            -0.7329515044921213
2.0930611205058973              1.3852985682507972
1.2318222025012293              1.9012346814081722

------------------------------------------------------

Dissimilarity mean:
24.689010289562066              24.6847532488831
36.3523008149946                33.18856414987929
31.407919514208057              31.697469832079957

Dissimilarity std:
4.087457291274911	            5.5893190615341695
3.87505166775778	            6.021942307773861
2.526386509138038	            2.7487048321897816

Dissimilarity skew:
-0.2448468361521137             1.2376769668138194
-0.4365564892646723             0.1587679163932615
-0.6106282794189596             -0.5132960931200125

Dissimilarity kurtosis:
-0.723974916860501              -0.4747725178353055
0.04198188201430719             -0.8294408230298314
0.039609548236535286            0.13170580512840502

------------------------------------------------------

ASM mean:
0.00014578942874922854          0.00024612200944622975
9.841592017925445e-05           0.0001353864344626694
0.00013586093209548054          0.00013356596090864683

ASM std:
6.189839668497152e-05	        0.0001298218271380892
3.000747527689138e-05	        5.523760012750993e-05
2.5510815067840547e-05	        2.5882511970584898e-05

ASM skew:
1.3671304986806665              0.3944506814917312
2.0535650972488138              0.8094015766349552
1.6744074668390345              1.2281398792011895

ASM kurtosis:
1.123889615693793               0.49918996513531555
5.56494372549885                3.597693383168097
2.6877082492016022              5.0057969953934105
